,form,Type,id
0,இருக்கிறீர்கள்,Verb,0
1,இருக்கினறனர்,Verb,1
2,காட்டிலும்,Particles,2
3,இடமிருந்து,Conjunctions,3
4,இருக்கிறது,Verb,4
5,இருக்கின்ற,Adjectives,5
6,இருந்தார்,Verb,6
7,இருந்தால்,Verb,7
8,இலிருந்து,Conjunctions,8
9,கொடுப்பத்,Particles,9
10,குறைவாகவே,Quantifiers,10
11,இருக்கும்,Adjectives,11
12,தொடர்ந்து,Conjunctions,12
13,மத்தியில்,Conjunctions,13
14,முழுவதும்,Quantifiers,14
15,மாட்டாது,Verb,15
16,என்பதால்,Particles,16
17,குறித்த்,Conjunctions,17
18,இருப்பத்,Verb,18
19,சார்பில்,Conjunctions,19
20,உள்ளதால்,Verb,20
21,தொடர்பான,Conjunctions,21
22,இருந்தது,Verb,22
23,உள்ளாகவே,Conjunctions,23
24,இருக்கிற,Adjectives,24
25,குறித்து,Conjunctions,25
26,Kஉறித்த்,Conjunctions,26
27,ஆகியதால்,Verb,27
28,என்பதைய்,Particles,28
29,இருந்தத்,Verb,29
30,இல்லாமல்,Conjunctions,30
31,உள்ளதைய்,Verb,31
32,வேண்டும்,Verb,32
33,முன்னால்,Conjunctions,33
34,தொடர்பாக,Conjunctions,34
35,எடுப்பத்,Particles,35
36,சேர்த்து,Conjunctions,36
37,இருந்து,Verb,37
38,அல்லாது,Conjunctions,38
39,அந்தந்த,Determiners,39
40,உள்ளார்,Verb,40
41,இடையில்,Conjunctions,41
42,மிகவும்,Quantifiers,42
43,அடுத்து,Verb,43
44,உள்ளோம்,Verb,44
45,மட்டுமே,Particles,45
46,குறித்த,Conjunctions,46
47,உள்ளனர்,Verb,47
48,பின்னர்,Conjunctions,48
49,மற்றும்,Conjunctions,49
50,பட்டார்,Verb,50
51,எல்லாம்,Conjunctions,51
52,கொஞ்சம்,Quantifiers,52
53,சார்ந்த,Conjunctions,53
54,எதிரில்,Conjunctions,54
55,என்றால்,Particles,55
56,சேர்ந்த,Conjunctions,56
57,இருந்தன,Verb,57
58,உள்ளேன்,Verb,58
59,கூடும்,Verb,59
60,இல்லாத,Conjunctions,60
61,பற்றிய,Conjunctions,61
62,அந்தப்,Determiners,62
63,அதிகம்,Quantifiers,63
64,முறையே,Conjunctions,64
65,என்பது,Particles,65
66,இந்தப்,Determiners,66
67,வழியாக,Conjunctions,67
68,அந்தக்,Determiners,68
69,எதிரான,Conjunctions,69
70,அல்லது,Conjunctions,70
71,அல்லாத,Conjunctions,71
72,அந்தச்,Determiners,72
73,என்கிற,Particles,73
74,இந்தத்,Determiners,74
75,முழுக்,Quantifiers,75
76,என்பதை,Particles,76
77,முன்பே,Conjunctions,77
78,அந்தத்,Determiners,78
79,மீதும்,Conjunctions,79
80,உள்ளது,Verb,80
81,எந்தத்,Determiners,81
82,பட்டது,Verb,82
83,உள்ளத்,Verb,83
84,மூலமாக,Conjunctions,84
85,இருந்த,Adjectives,85
86,உள்ளன,Verb,86
87,இன்றி,Conjunctions,87
88,பட்ட்,Verb,88
89,ஒட்டி,Conjunctions,89
90,பட்டு,Verb,90
91,முதல்,Conjunctions,91
92,கொண்ட,Conjunctions,92
93,உட்பட,Conjunctions,93
94,அருகே,Conjunctions,94
95,ஆனால்,Verb,95
96,பிறகே,Particles,96
97,மூலம்,Conjunctions,97
98,பிறகு,Conjunctions,98
99,மிகச்,Quantifiers,99
100,இடையே,Conjunctions,100
101,இல்லை,Verb,101
102,அன்று,Conjunctions,102
103,என்று,Particles,103
104,மிகப்,Quantifiers,104
105,என்ற்,Particles,105
106,போன்ற,Conjunctions,106
107,உடன்,Conjunctions,107
108,படக்,Verb,108
109,ஆவது,Particles,109
110,ஆகக்,Conjunctions,110
111,ஆகப்,Conjunctions,111
112,ஆகத்,Particles,112
113,தவிர,Conjunctions,113
114,என்ற,Particles,114
115,உள்ள,Adjectives,115
116,அந்த,Determiners,116
117,அதிக,Quantifiers,117
118,கீழ்,Conjunctions,118
119,மீத்,Conjunctions,119
120,மீது,Conjunctions,120
121,எனவ்,Particles,121
122,அற்ற,Conjunctions,122
123,இடம்,Conjunctions,123
124,எனத்,Particles,124
125,போது,Particles,125
126,ப்பட,Verb,126
127,ஆகவ்,Particles,127
128,எனக்,Particles,128
129,எந்த,Determiners,129
130,தான்,Particles,130
131,இந்த,Determiners,131
132,உரிய,Adjectives,132
133,பட்ட,Adjectives,133
134,ஆகச்,Conjunctions,134
135,இச்,Determiners,135
136,உள்,Conjunctions,136
137,அப்,Determiners,137
138,உம்,Particles,138
139,கூட,Particles,139
140,இப்,Determiners,140
141,ஒரு,Determiners,141
142,ஆறு,Particles,142
143,ஏய்,Particles,143
144,ஏயே,Particles,144
145,இந்,Determiners,145
146,ஆம்,Verb,146
147,மிக,Quantifiers,147
148,விட,Particles,148
149,ஓடு,Conjunctions,149
150,படி,Conjunctions,150
151,அந்,Determiners,151
152,வரை,Conjunctions,152
153,போல,Conjunctions,153
154,ஆக,Conjunctions,154
155,ஆன,Particles,155
156,என,Particles,156
157,பட,Verb,157
158,ஓ,Particles,158
159,ஆ,Particles,159
160,ஏ,Particles,160
161,ரூ,Punctuation,161
